TYPE,DESCRIPTION,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES,is_rent,Predicted_Price
House,property details area dha islamabad property size marla near mcdonalds house highlights luxuriously designed new house swimming poolhouse details bedrooms attached washrooms drawing dinning area powder room ac installed tv lounge kitchen servant quarter swimming pool shower area area gym solar installed house asthetics doors made mahaghni wood safaily windows chawla aluminium imported tiles car porch carssuvs,4500.0,139000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3,0,127533071.42857148
House,discover epitome modern living exquisitely designed kanal house dha phase islamabad crafted elegance sophistication property offers luxurious lifestyle prime location key features bedrooms spacious bedrooms attached designer baths kitchens fully equipped modern kitchens topquality fittings living areas expansive tv lounges comfortable family gatherings drawing dining elegant drawing dining areas formal occasions servant quarter separate servant room attached bath design modern architecture premium materials stylish finishes unique layout outdoor space beautifully landscaped lawn ample parking space multiple vehicles location situated heart dha phase close major amenities including schools parks mosques shopping centers additional features energyefficient lighting fixtures highquality flooring woodwork prime location easy access gt road islamabad highway house perfect families seeking comfort luxury convenience one islamabads prestigious neighborhoods demand contact details contact information schedule visit call dont miss rare opportunity dream home,4500.0,125000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3,0,117858166.66666669
House,brand new park face double story house sale located prime location g islamabadsize x marlagreat opportunity dont miss original pictures video attachedabout property drawing dining bedrooms washrooms kitchens tv lounge car parkingtille flooringideal locality electricity meters availablewater boring also water supply facility availableall facilities available need livingeasy access sirinagar highway near main double roadnear school college market masjid metro stationpublic transport hospitals etc located one best locations gislamabadjust call us visit u want live environment absolutely secured peaceful right time right place invest ur moneymore details please call,3150.0,120000000.0,For Sale,"G-13/4, G-13, Islamabad, Islamabad Capital",2025,6,6,2,0,117215000.0
Flat,bedroom apartment available sale bedroom terrace apartment washroom kitchen tv lounge car parkingnear giga mall near school collegesnear gt road information call,810.0,8000000.0,For Sale,"Al-Ghurair Giga, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1,0,8387500.0
House,kanal basementtop modern villa inside dha phase islamabad saledream home interior design architecture luxury living home tour modern amenities spacious rooms stunning views description welcome ultimate house tour step world luxury sophistication explore magnificent dream home exquisite interior design breathtaking architecture every detail meticulously crafted create elegance comfort get ready inspired spacious rooms stateoftheart amenities panoramic views leave awe join us virtual journey let transported world opulence serenity dont forget like subscribe share video spread beauty luxury livingfor options details contact us,4500.0,147500000.0,For Sale,"DHA Phase 2 - Sector B, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,9,7,4,0,132666333.33333331
House,key features property marla housedouble unitslightly used bedsattached washrooms xkitchen xdrawing dining xservant quarter,1575.0,58500000.0,For Sale,"G-13, Islamabad, Islamabad Capital",2025,4,6,2,0,58995000.0
House,marla luxxary brand new park face available salewith following accomodation bedroom attach bath kitchen ddlounhg servent quarter front open park face extra lend sonex porta sanitary installedfor details plz contect,2250.0,120000000.0,For Sale,"D-12/2, D-12, Islamabad, Islamabad Capital",2025,6,7,4,0,109955000.0
House,brand new luxury double story house sale located islamabad size specious bedrooms attach bathdrawing dinning tv lounge leving areamodern style kitchen servant room attach bathseparate entrance car parking spacesolid construction vip finishing modern kitchen wardrobes imported wood high quality accessories designer built house hour water boring cda water connection also installedbigger rcc water tankelectricity meter gas meter applied sun faceing feet roadnear margalla road park green areaattached picture originalbeautiful sector front margalla hills dream house please feel free call need details request serious individual contact make immediate dealfor details viewing please contact us asif bangash markaz islamabad,1800.0,90000000.0,For Sale,"D-12, Islamabad, Islamabad Capital",2024,4,4,2,0,87045000.0
Flat,property details area dha islamabad property size sqft near mcdonalds house highlights luxuriously designed new house swimming poolhouse details bedrooms attached washrooms drawing dinning area powder room ac installed tv lounge kitchen servant quarter swimming pool shower area area gym solar installed house asthetics doors made mahaghni wood safaily windows chawla aluminium imported tiles car porch carssuvs,1935.0,21000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,2,0,22945000.0
House,marla luxury designer single unit house available sale basic amenities top class location dha phase islamabad solar system also installed investor city desperately needs check available options islamabad become owner dream home centrally located property simply cannot say house better yet comes tonnes exciting features distinguish properties among sensible marla property options one think propertys location dha defence phase swell wed recommend sign quickly wont find better price current rs kind properties read property features premise kept clean times effective waste disposal management service house separate prayer room offer five daily prayers peacefully away noise house dedicated barbeque area enjoy family friends body pain vanish quick session jacuzzi property comes powder room adding many convenient features double glazed windows house great source insulation house comes sizeable dining room family meals together make wise investment decision experts waiting help call us today detailed assessment property advice,2250.0,67500000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,5,6,2,0,62512333.33333333
House,property details area dha islamabad property size kanal location south face ft road near central park house highlights contemporary designed single unit brand new househouse details bedrooms attached washrooms drawing dinning area powder room double highted lobby tv lounge double hight kitchen servant quarterhouse aesthetics doors made mohagany double height lobby windows upvc imported tiles jacuzzis rain shower installed washrooms car porch carssuvsdemand crore,4500.0,119000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,2,0,136428333.33333334
House,kanal top modern villa inside dha phase islamabad saledream home interior design architecture luxury living home tour modern amenities spacious rooms stunning views description welcome ultimate house tour step world luxury sophistication explore magnificent dream home exquisite interior design breathtaking architecture every detail meticulously crafted create elegance comfort get ready inspired spacious rooms stateoftheart amenities panoramic views leave awe join us virtual journey let transported world opulence serenity dont forget like subscribe share video spread beauty luxury livingfor options details contact us,4500.0,147500000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,5,3,0,140846500.0
House,bed double unit marla designer house brand new house solid bricks construction earthquake proof ideal location solid wood work imported tiles flooring house water boring electricity meter roof ceiling house ground floor bedrooms attach bathrooms kitchen tv lounge drawing room powder room car porch laundry area st floor bedrooms attach bathrooms kitchen tv lounge drawing room attach bathroom used third bedroom terrace nd floor mumti concrete water tank roof top near main road market school mosque closed end street tough tile beautiful street call visit details,1350.0,22000000.0,For Sale,"Bani Gala, Islamabad, Islamabad Capital",2024,4,6,1,0,23800000.0
House,bed bath kitchen tv lounge drawing room bath car porch lawan,2250.0,16800000.0,For Sale,"Bani Gala, Islamabad, Islamabad Capital",2022,2,3,2,0,22331000.0
House,top location designer house available sale located prime location islamabadsize x marlacda sectorgreat opportunity dont miss original pictures video attachedabout property bedrooms washrooms drawing dining kitchens tv loungeservent mummty car parkingtille flooringideal localityexcellent wood workbeautiful location upscale neighbour hoodelectricity meters available also gas meter installed water boring also water supply facility availableall facilities available need livingeasy access margalla avenue near main double roadnear school college market masjid metro cash carrypublic transport hospitals etc located one best locations dislamabadjust call us visit u want live environment absolutely secured peaceful right time right place invest ur moneymore details please calldeal owner,2250.0,120000000.0,For Sale,"D-12/4, D-12, Islamabad, Islamabad Capital",2025,4,6,2,0,119965000.0
House,housing foundation sector gmarla bedroom double story house sale investor price nestled prestigious neighbourhood g st remarkable property built well maintained liveable double story bedroom including mumty utilities available gass electric city water situated street g exclusive approach kashmir highway surrounding golden opportunity looking low budget house permanent rental income safe affordable reasonable price,900.0,32500000.0,For Sale,"G-13/4, G-13, Islamabad, Islamabad Capital",2023,5,5,3,0,32634000.0
House,brand new house sale located prime location g islamabadsize x marlagreat opportunity dont miss original pictures attached property bedrooms washrooms drawing room kitchens tv loungecar parkingtile flooring double unit houseideal localityelectricity gas meters availablewater boring running also water supply facility availableall facilities available need livingnear main double road kashmir highway near school college market masjidpublic transport hospitals etc located one best locations gislamabadjust call us visitview contact detail,2250.0,82500000.0,For Sale,"G-13, Islamabad, Islamabad Capital",2025,6,6,2,0,82046250.0
House,property details area dha islamabad property size kanal house highlights aesthetically built single unit brand new househouse details bedrooms attached washrooms drawing dining area powder room double highted lobby tv lounge kitchen servant quarterhouse aesthetics doors made solid mohagany wood double height lobby windows upvc imported tiles car porch carssuvsdemand crore,4500.0,119000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,2,0,123285952.38095237
House,dha phase islamabad beautiful designer canadian style luxury farnished house ultra luxury lavish house one kanal luxury house designer bedrooms fully furnished house park facing prime location sun facing walking distance commercial mosque visit info contact,4500.0,129000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,3,0,129308333.33333331
House,presenting exceptional kanal masterpiece one soughtafter houses sale dha situated near park close essential amenities property offers luxurious living finest key features remarkable house spacious bedrooms attached bathroomsall bathrooms equipped highquality imported fittings including grohe fittingsimpeccable woodwork throughout house using teak wood ash woodimported fittings installed every washroomconveniently located near park mosquecommercial area close proximitytotal covered area approximately sq ftdoublestory structurewiring ups generator completedprovision cctv camerassolid steel work main gatesliding doors ease accesselegant marbletiled wooden flooringspanish tiles used cover washrooms contact us assistance,4500.0,149500000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,6,6,3,0,135840000.0
House,g double story house size x built feet road margalla viewfacing near srinagar highway park mosque main double road brokers genuine purchaser self contact plz owner directly involved details st floor bedrooms attached baths drawing dining tv lounge kitchen car porch vehiclesnd floor bedrooms attached baths dining tv lounge kitchen terrace floor servant quarter separate gas electricity meters details feel free call present fantastic opportunity house built prime location competitive price located soughtafter sector g property offers unbeatable combination convenience comfort value key highlights prime location g islamabad feet road house ventilation reasonable price according market rate excellent opportunity genuine buyersdont miss outif youre interested viewing property encourage get touch us immediately help find dream home look forward hearing soon,3150.0,87500000.0,For Sale,"G-13/4, G-13, Islamabad, Islamabad Capital",2020,7,6,2,0,94804000.0
House,single unit housevery prime location dhawalking distance market school mosque central park bedroom attach washroomsdrawing dinnning powder room kitchens tv loungecar porch car spacekw net metering solar system installedelectronics installed servant rooms common washroom solid landfor visit feel free contact,4500.0,125000000.0,For Sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,5,1,0,122390952.38095237
House,exquisite marla house sale prime bani gala islamabadproperty highlightsspacious marla house elegant design modern finishes luxurious bedrooms attached bathrooms ultimate comfort stylish kitchen ample space perfect home chefs bright drawing dining room ideal family gatherings entertaining guests convenient parking area hasslefree parking solar system installed ecofriendly costefficient energy green meter reduced utility costselectricity gas meters installed ready immediate moveinautomatic water tank uninterrupted supplynayatel wifi preinstalled highspeed internetsecurity cameras enhanced safety prime locationkhakwani house mehmand palace road bilmukabil barrier bani gala islamabadpeaceful secure neighborhood perfect families close schools markets major roads easy commuting asking price pkr negotiable serious buyersthis moveinready home offers comfort convenience luxury one islamabads desirable areas dont miss rare opportunity contact schedule visit,1800.0,35000000.0,For Sale,"Bani Gala, Islamabad, Islamabad Capital",2023,5,5,2,0,33164500.0
House,g islamabad brand new house salesize x double units bedrooms washrooms kitchen tv lounge dd servant quarter boring available electric available solid wooden work lush green lawn extra parkingfor details contact us,4500.0,160000000.0,For Sale,"G-13, Islamabad, Islamabad Capital",2025,7,7,2,0,154250000.0
House,beautiful designer house feet road neat clean road bed rooms attached wash rooms v lounge drawing dining kitchen servant room car parking electricity meter gas meter water boring supply near market park masjid markaz facilities available beautiful margalla hills views near margalla avenu detail contact,2250.0,125000000.0,For Sale,"D-12, Islamabad, Islamabad Capital",2025,5,6,3,0,122040000.0
House,sale sqyrd brand new double storey house f_ house size sqyrd xbrand new double storey housecda transfer bedroomsattached bathrooms kitchen dirty kitchen alsodrawing dining tv lounges servant roomsbig terracelawn car parkingtiled flooringacs installedcentral heating systemsale demand crore currently tenant livingproperty links agency charge fee service charges agreement time,5850.0,470000000.0,For Sale,"F-7/1, F-7, Islamabad, Islamabad Capital",2025,6,6,2,0,446420000.0
House,pleased offer meticulously designed brand new marla house located prime residential area modern home combines elegance functionality comfort making ideal choice families looking luxurious living experience key featuresspacious layout house features wellplanned layout large living spaces including bedrooms bathrooms study room spacious drawing dining area highquality finishes premium materials used throughout including highend tiles wooden flooring topquality fixtures modern kitchen fully equipped contemporary kitchen modern appliances sleek cabinetry ample counter space contemporary design house boasts stylish modern facade large windows allowing plenty natural light prime location situated highly soughtafter neighborhood easy access major roads schools hospitals shopping centers amenities parking security spacious car parking area secure boundary walls security peace mind brand new marla house excellent opportunity seeking comfortable luxurious home dont miss chance purchase housefor details schedule viewing please contact us,2250.0,45000000.0,For Sale,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",2025,5,7,2,0,42552500.0
House,sale sqyrd triple units sets rooms swimming pool bani gala plot size kanal covered area sqft approxbuilt renovated last time triple storey swimming poolmain gate front unitright unitside unit ensuite rooms attached bathrooms reception areas main offices areasdesigned maximum security staff equipmenthuge multi purpose central courtyard currently covered swimming poolmultiple kitchens servant areas multi purpose lounges large multi purpose hallshuge rooftop utility spaceall connection except gas connectionthree phase electric meterssale demand croredue personal reasons uploaded property links agency charge fee days service charges agreement time,9000.0,200000000.0,For Sale,"Bani Gala, Islamabad, Islamabad Capital",2025,5,6,2,0,192330000.0
House,marla house marla lawn available prim location bani galla double storey luxury modern designer stylish marla house marla lawn green areabedroom attach washroom driving dining tv launch kitchen laundry terrace big space parking electric metre water boring washing machine area nearby mosque nearby bani gala market waking distance masjid school concrete road sewerage line available gass line available,4500.0,67000000.0,For Sale,"Bani Gala, Islamabad, Islamabad Capital",2025,5,6,2,0,67900000.0
House,presenting exceptional kanal masterpiece one soughtafter houses sale dha situated near park close essential amenities property offers luxurious living finest key features remarkable house spacious bedrooms attached bathroomsall bathrooms equipped highquality imported fittings including grohe fittingsimpeccable woodwork throughout house using teak wood ash woodimported fittings installed every washroomconveniently located near park mosquecommercial area close proximitytotal covered area approximately sq fttriplestory structurewiring ups generator completedprovision cctv camerassolid steel work main gatesliding doors ease accesselegant marbletiled wooden flooringspanish tiles used cover washrooms,4500.0,140000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,7,6,3,0,131600000.0
House,marla brand new first entry house sale g islamabad room attach bath cupboard drawing room attach bath dining room servant quarter attach bath cupboard mumty store room laundry area back taris front taris roof top view electricity meter seprate bor workingwatar supply week daysflooring tile luxury housecar parking geyser separate independent entrance proper separateideal location house,2250.0,95000000.0,For Sale,"G-13, Islamabad, Islamabad Capital",2022,6,6,2,0,88582916.66666669
House,dhaone kanal brand new designer houseprime location dha,4500.0,119000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,3,0,116495000.0
House,triple story house sale fsize sq yardsun facingdemand cr cda transfer,17100.0,750000000.0,For Sale,"F-7, Islamabad, Islamabad Capital",2023,10,6,7,0,728290000.0
House,marla house street cornermargallah facing beautiful location near markzfive bedrooms attach washroom tv lounge double kitchens double unit house solid construction brand new house,2250.0,130000000.0,For Sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2025,5,6,2,0,126850000.0
House,bedroom bathroom tv launch kitchen drawing room shravan quarter foot road near markaz near park near double roadiske alava aur bhi option available hai,2452.5,125000000.0,For Sale,"D-12, Islamabad, Islamabad Capital",2025,5,6,2,0,120820000.0
House,premium bedroom house sale prime locationdiscover luxury living heart spacious elegantly designed bedroom house featuring attached bathrooms stylish drawing dining area modern interiors home offers perfect blend comfort sophistication key featuresprime location spacious bedrooms attached bathroomselegant drawing amp dining areahighquality construction amp finishespeaceful amp secure neighborhoodperfect families seeking modern amp comfortable lifestylecontact details schedule visit,900.0,45000000.0,For Sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2025,3,3,2,0,42515000.0
House,brand new marla construction house sale bahria enclave islamabadpresenting beautifully designed marla brand new house prestigious bahria enclave islamabad built construction quality home offers modern architecture premium finishes comfortable lifestyle serene secure environment property featuressize marla spacious bedrooms attached luxury bathrooms drawing rooms dining area tv lounge modern kitchens highend fittingspowder roomservant quarterwide car porchstylish ceilings tiled flooring quality woodworksolid structure excellent material workmanshipkv solar system installed additional highlightsbrand new house ready move inhighend sanitary electrical fittings porta faisalsolid wooden doorbeautiful front elevation wellmaintained lawnlocated fully developed peaceful sector bahria enclaveprime location benefitssecure gated community surveillancenear parks grand jamia mosque schools commercial areaeasy access main avenues islamabadthis ideal option families looking comfort style great community dont miss chance gem,2250.0,58000000.0,For Sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,5,2,0,58550666.66666666
House,dont miss opportunity owning home islamabad options available affordable prices dream life awaits marla units sale located centrally house well designed accommodate family guests investment price pkr rs property secure bet house sale great deal considering comes many facilities convenient communityoriented lifestyle top city block perfect get details property features given enjoy winters warmth home due central heating house community swimming pool amenity one cant deny waste disposal management services ensures premise kept clean room house easily customised library art room study room looking house contact us today well make happen house features stateoftheart amenities differentlyabled prayer room house lets pray peacefully conveniently agents help address concerns dial given number,2250.0,46900000.0,For Sale,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",2025,5,6,1,0,44966916.66666666
House,dhaone kanal brand new designer houseprime location dhaowner built house,4500.0,149000000.0,For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,6,6,3,0,142025000.0
House,looking lucrative investment opportunity islamabads prime location look present demolished house f offering immense potential investors situated soughtafter area cda transfer x plot rare find asking price crores property promises high returns investment whether youre planning rebuild develop prime location guarantees appreciation value plus multiple options available suit investment needs dont miss golden opportunity contact us today seize potential prime property f,5850.0,260000000.0,For Sale,"F-7, Islamabad, Islamabad Capital",2023,5,5,2,0,303750000.0
House,new furnished house sale located prime location islamabadsize x marlagreat opportunity dont miss original pictures attachedabout property bedrooms washrooms kitchens tv lounge sarvant quarter car parkingtile flooringdouble unit houseideal localityelectricity meters availablewater boring running also water supply facility availableall facilities available need livingnear main double road iran avenuenear school college market masjidpublic transport hospitals etc located one best locations dislamabadjust call us visit,900.0,44000000.0,For Sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2023,4,4,1,0,41765000.0
House,marla double story house sale banigala beautiful view margala hills bedroom attached bathroom tv lounge kitchendrawing attached bath car parking mints driver islgated community,1125.0,21500000.0,For Sale,"Bani Gala, Islamabad, Islamabad Capital",2025,4,4,1,0,17166000.0
House,exclusive brand new spanishstyle masterpiece prime b sector indulge epitome luxury living stunning doublestorey spanish villa bahria enclaves prestigious sector b spread marla marla adjacent land home offers unmatched privacy side open views corner location boulevard parkfacing fronts key features ground floor elegant drawing room dining area tv lounge bedrooms basement room main kitchen wet kitchen first floor independent entrance car porch lavish bedrooms servant quarters expansive marla backyard landscaped garden gazeboperfect serene outdoor living imported spanish floor bathroom tiles italian sanitary fittings deuji core construction built premium materials unmatched durability elegance prime location benefits corner plot maximum sunlight ventilation boulevard parkfacing uninterrupted greenery premium views ultrapremium neighborhood bahria enclaves soughtafter sector houseits statement luxury exclusivity elite living contact private viewing masterpiece gone,4500.0,150000000.0,For Sale,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,7,4,0,134478750.0
House,top city islamabad prestigious housing society located heart islamabad top minutes drive zero point wellplanned community wide roads beautiful parks modern amenities society offers unique blend luxury affordability making attractive option families investors alike bykashmir highway kmmetro station kmm one near mint drive awaym one mint drive awaycpec mint drive awayislamabad international airport mint drive awaythalliayan interchange top mint drive awaygt road mint drive awayall bus terminals like daewoo faisal moversskywaysroad master kohistan etc mints drive awayquaid e azam international hospital mints drive awayzoo school park playgrounds community centre mosque golfclub commercial market kmview contact detail rao asghar,2250.0,57500000.0,For Sale,"Top City 1, Islamabad, Islamabad Capital",2024,6,7,2,0,52605000.0
House,house sale detailse size bedrooms washrooms drawing room dining room tv launge kitchen car parking space sale demand caro,2250.0,65000000.0,For Sale,"E-11/3, E-11, Islamabad, Islamabad Capital",2023,4,4,2,0,63405000.0
House,marla brand new house back open excellent construction quality sunfacing house available salenote best quality guaranteed construction finishing material house backopen green area accommodation bedrooms attach imported fitting washrooms kitchens huge tvs lounge drawing servant quarter attached bathfront terrace cars parkingoutside beautiful lawnmost beautiful location bahria enclave islamabad walking distance main gate mosque park commercials ideal location living enjoying amenities live healthy natural environmentcontact details,1125.0,23500000.0,For Sale,"Bahria Enclave - Sector F1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,5,1,0,22598666.66666667
